loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 62:26:76:75:93:cb 33:33:00:00:00:16 1
packet in 3 62:26:76:75:93:cb 33:33:00:00:00:16 2
packet in 1 62:26:76:75:93:cb 33:33:00:00:00:16 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:16 2
packet in 2 62:26:76:75:93:cb 33:33:ff:75:93:cb 1
packet in 3 62:26:76:75:93:cb 33:33:ff:75:93:cb 2
packet in 1 62:26:76:75:93:cb 33:33:ff:75:93:cb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:ff:62:c8:4c 2
packet in 1 7a:95:a8:26:61:c6 33:33:ff:26:61:c6 1
packet in 2 7a:95:a8:26:61:c6 33:33:ff:26:61:c6 2
packet in 3 7a:95:a8:26:61:c6 33:33:ff:26:61:c6 2
packet in 1 7a:95:a8:26:61:c6 33:33:00:00:00:16 1
packet in 2 7a:95:a8:26:61:c6 33:33:00:00:00:16 2
packet in 3 7a:95:a8:26:61:c6 33:33:00:00:00:16 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:ff:f5:c2:64 3
packet in 3 e2:e3:d4:fb:df:03 33:33:ff:fb:df:03 1
packet in 2 e2:e3:d4:fb:df:03 33:33:ff:fb:df:03 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:ff:f5:c2:64 2
packet in 1 e2:e3:d4:fb:df:03 33:33:ff:fb:df:03 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 3 e2:e3:d4:fb:df:03 33:33:00:00:00:16 1
packet in 2 e2:e3:d4:fb:df:03 33:33:00:00:00:16 3
packet in 1 e2:e3:d4:fb:df:03 33:33:00:00:00:16 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:ff:9d:e4:f5 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:ff:9d:e4:f5 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:16 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:02 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:16 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 1 7a:95:a8:26:61:c6 ff:ff:ff:ff:ff:ff 1
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 2 7a:95:a8:26:61:c6 ff:ff:ff:ff:ff:ff 2
packet in 2 62:26:76:75:93:cb 7a:95:a8:26:61:c6 1
packet in 3 7a:95:a8:26:61:c6 ff:ff:ff:ff:ff:ff 2
packet in 1 62:26:76:75:93:cb 7a:95:a8:26:61:c6 2
packet in 1 7a:95:a8:26:61:c6 62:26:76:75:93:cb 1
packet in 2 7a:95:a8:26:61:c6 62:26:76:75:93:cb 2
packet in 1 7a:95:a8:26:61:c6 ff:ff:ff:ff:ff:ff 1
packet in 2 7a:95:a8:26:61:c6 ff:ff:ff:ff:ff:ff 2
packet in 3 7a:95:a8:26:61:c6 ff:ff:ff:ff:ff:ff 2
packet in 3 e2:e3:d4:fb:df:03 7a:95:a8:26:61:c6 1
packet in 2 e2:e3:d4:fb:df:03 7a:95:a8:26:61:c6 3
packet in 1 e2:e3:d4:fb:df:03 7a:95:a8:26:61:c6 2
packet in 1 7a:95:a8:26:61:c6 e2:e3:d4:fb:df:03 1
packet in 2 7a:95:a8:26:61:c6 e2:e3:d4:fb:df:03 2
packet in 3 7a:95:a8:26:61:c6 e2:e3:d4:fb:df:03 2
packet in 2 62:26:76:75:93:cb ff:ff:ff:ff:ff:ff 1
packet in 1 62:26:76:75:93:cb ff:ff:ff:ff:ff:ff 2
packet in 3 62:26:76:75:93:cb ff:ff:ff:ff:ff:ff 2
packet in 3 e2:e3:d4:fb:df:03 62:26:76:75:93:cb 1
packet in 2 e2:e3:d4:fb:df:03 62:26:76:75:93:cb 3
packet in 2 62:26:76:75:93:cb e2:e3:d4:fb:df:03 1
packet in 3 62:26:76:75:93:cb e2:e3:d4:fb:df:03 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 2 62:26:76:75:93:cb 33:33:00:00:00:16 1
packet in 2 62:26:76:75:93:cb 33:33:00:00:00:02 1
packet in 1 62:26:76:75:93:cb 33:33:00:00:00:16 2
packet in 1 62:26:76:75:93:cb 33:33:00:00:00:02 2
packet in 3 62:26:76:75:93:cb 33:33:00:00:00:16 2
packet in 3 62:26:76:75:93:cb 33:33:00:00:00:02 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:16 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:02 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:16 2
packet in 1 7a:95:a8:26:61:c6 33:33:00:00:00:16 1
packet in 1 7a:95:a8:26:61:c6 33:33:00:00:00:02 1
packet in 2 7a:95:a8:26:61:c6 33:33:00:00:00:16 2
packet in 2 7a:95:a8:26:61:c6 33:33:00:00:00:02 2
packet in 3 7a:95:a8:26:61:c6 33:33:00:00:00:16 2
packet in 3 7a:95:a8:26:61:c6 33:33:00:00:00:02 2
packet in 1 7a:95:a8:26:61:c6 33:33:00:00:00:16 1
packet in 2 7a:95:a8:26:61:c6 33:33:00:00:00:16 2
packet in 3 7a:95:a8:26:61:c6 33:33:00:00:00:16 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:16 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:16 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 3
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:02 3
packet in 3 e2:e3:d4:fb:df:03 33:33:00:00:00:16 1
packet in 3 e2:e3:d4:fb:df:03 33:33:00:00:00:02 1
packet in 2 e2:e3:d4:fb:df:03 33:33:00:00:00:16 3
packet in 2 e2:e3:d4:fb:df:03 33:33:00:00:00:02 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 2
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:02 2
packet in 1 e2:e3:d4:fb:df:03 33:33:00:00:00:16 2
packet in 1 e2:e3:d4:fb:df:03 33:33:00:00:00:02 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:16 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:02 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:02 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 2 62:26:76:75:93:cb 33:33:00:00:00:16 1
packet in 1 62:26:76:75:93:cb 33:33:00:00:00:16 2
packet in 3 62:26:76:75:93:cb 33:33:00:00:00:16 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:16 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:16 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 3 e2:e3:d4:fb:df:03 33:33:00:00:00:16 1
packet in 2 e2:e3:d4:fb:df:03 33:33:00:00:00:16 3
packet in 1 e2:e3:d4:fb:df:03 33:33:00:00:00:16 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:16 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:fb 2
packet in 1 b2:57:59:4a:77:57 33:33:00:00:00:02 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:fb 2
packet in 3 e2:e3:d4:fb:df:03 33:33:00:00:00:02 1
packet in 2 e2:e3:d4:fb:df:03 33:33:00:00:00:02 3
packet in 1 e2:e3:d4:fb:df:03 33:33:00:00:00:02 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 3
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:fb 2
packet in 1 7a:95:a8:26:61:c6 33:33:00:00:00:02 1
packet in 3 a2:41:a2:62:c8:4c 33:33:00:00:00:02 2
packet in 2 ce:4f:d8:f5:c2:64 33:33:00:00:00:02 3
packet in 2 62:26:76:75:93:cb 33:33:00:00:00:02 1
packet in 2 7a:95:a8:26:61:c6 33:33:00:00:00:02 2
packet in 1 ce:4f:d8:f5:c2:64 33:33:00:00:00:02 2
packet in 1 62:26:76:75:93:cb 33:33:00:00:00:02 2
packet in 3 62:26:76:75:93:cb 33:33:00:00:00:02 2
packet in 3 7a:95:a8:26:61:c6 33:33:00:00:00:02 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:fb 2
packet in 2 86:e6:fc:9d:e4:f5 33:33:00:00:00:02 2
packet in 3 86:e6:fc:9d:e4:f5 33:33:00:00:00:02 2
