loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1 ee:37:6b:64:1a:19 ff:ff:ff:ff:ff:ff 1
packet in 2 ee:37:6b:64:1a:19 ff:ff:ff:ff:ff:ff 2
packet in 3 ee:37:6b:64:1a:19 ff:ff:ff:ff:ff:ff 2
packet in 2 06:46:cb:2d:23:dd ee:37:6b:64:1a:19 1
packet in 1 06:46:cb:2d:23:dd ee:37:6b:64:1a:19 2
packet in 1 ee:37:6b:64:1a:19 06:46:cb:2d:23:dd 1
packet in 2 ee:37:6b:64:1a:19 06:46:cb:2d:23:dd 2
packet in 1 ee:37:6b:64:1a:19 ff:ff:ff:ff:ff:ff 1
packet in 2 ee:37:6b:64:1a:19 ff:ff:ff:ff:ff:ff 2
packet in 3 ee:37:6b:64:1a:19 ff:ff:ff:ff:ff:ff 2
packet in 3 56:a1:4d:12:58:30 ee:37:6b:64:1a:19 1
packet in 2 56:a1:4d:12:58:30 ee:37:6b:64:1a:19 3
packet in 1 56:a1:4d:12:58:30 ee:37:6b:64:1a:19 2
packet in 1 ee:37:6b:64:1a:19 56:a1:4d:12:58:30 1
packet in 2 ee:37:6b:64:1a:19 56:a1:4d:12:58:30 2
packet in 3 ee:37:6b:64:1a:19 56:a1:4d:12:58:30 2
packet in 2 06:46:cb:2d:23:dd ff:ff:ff:ff:ff:ff 1
packet in 3 06:46:cb:2d:23:dd ff:ff:ff:ff:ff:ff 2
packet in 1 06:46:cb:2d:23:dd ff:ff:ff:ff:ff:ff 2
packet in 3 56:a1:4d:12:58:30 06:46:cb:2d:23:dd 1
packet in 2 56:a1:4d:12:58:30 06:46:cb:2d:23:dd 3
packet in 2 06:46:cb:2d:23:dd 56:a1:4d:12:58:30 1
packet in 3 06:46:cb:2d:23:dd 56:a1:4d:12:58:30 2
packet in 3 56:a1:4d:12:58:30 33:33:00:00:00:16 1
packet in 2 56:a1:4d:12:58:30 33:33:00:00:00:16 3
packet in 1 56:a1:4d:12:58:30 33:33:00:00:00:16 2
packet in 3 7e:17:5f:d9:11:3f 33:33:ff:d9:11:3f 2
packet in 2 a2:6c:f4:dd:ee:a1 33:33:00:00:00:16 3
packet in 1 a2:6c:f4:dd:ee:a1 33:33:00:00:00:16 2
packet in 1 66:09:1e:14:43:0d 33:33:ff:14:43:0d 2
packet in 2 06:46:cb:2d:23:dd 33:33:00:00:00:16 1
packet in 3 06:46:cb:2d:23:dd 33:33:00:00:00:16 2
packet in 1 06:46:cb:2d:23:dd 33:33:00:00:00:16 2
packet in 1 ee:37:6b:64:1a:19 33:33:00:00:00:16 1
packet in 2 06:46:cb:2d:23:dd 33:33:ff:2d:23:dd 1
packet in 1 06:46:cb:2d:23:dd 33:33:ff:2d:23:dd 2
packet in 3 06:46:cb:2d:23:dd 33:33:ff:2d:23:dd 2
packet in 2 ee:37:6b:64:1a:19 33:33:00:00:00:16 2
packet in 3 ee:37:6b:64:1a:19 33:33:00:00:00:16 2
packet in 1 ee:37:6b:64:1a:19 33:33:ff:64:1a:19 1
packet in 2 ee:37:6b:64:1a:19 33:33:ff:64:1a:19 2
