loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1 26:52:a5:02:64:63 ff:ff:ff:ff:ff:ff 1
packet in 2 1a:f1:55:fa:5f:40 33:33:00:00:00:16 1
packet in 1 1a:f1:55:fa:5f:40 33:33:00:00:00:16 2
packet in 2 26:52:a5:02:64:63 ff:ff:ff:ff:ff:ff 2
packet in 3 1a:f1:55:fa:5f:40 33:33:00:00:00:16 2
packet in 1 86:bc:26:9f:be:d4 33:33:ff:9f:be:d4 2
packet in 3 26:52:a5:02:64:63 ff:ff:ff:ff:ff:ff 2
packet in 2 1a:f1:55:fa:5f:40 26:52:a5:02:64:63 1
packet in 1 1a:f1:55:fa:5f:40 26:52:a5:02:64:63 2
packet in 1 26:52:a5:02:64:63 1a:f1:55:fa:5f:40 1
packet in 2 26:52:a5:02:64:63 1a:f1:55:fa:5f:40 2
packet in 1 26:52:a5:02:64:63 ff:ff:ff:ff:ff:ff 1
packet in 2 26:52:a5:02:64:63 ff:ff:ff:ff:ff:ff 2
packet in 3 26:52:a5:02:64:63 ff:ff:ff:ff:ff:ff 2
packet in 3 a2:17:21:08:4e:cc 26:52:a5:02:64:63 1
packet in 2 a2:17:21:08:4e:cc 26:52:a5:02:64:63 3
packet in 1 a2:17:21:08:4e:cc 26:52:a5:02:64:63 2
packet in 1 26:52:a5:02:64:63 a2:17:21:08:4e:cc 1
packet in 2 26:52:a5:02:64:63 a2:17:21:08:4e:cc 2
packet in 3 26:52:a5:02:64:63 a2:17:21:08:4e:cc 2
packet in 2 1a:f1:55:fa:5f:40 ff:ff:ff:ff:ff:ff 1
packet in 1 1a:f1:55:fa:5f:40 ff:ff:ff:ff:ff:ff 2
packet in 3 1a:f1:55:fa:5f:40 ff:ff:ff:ff:ff:ff 2
packet in 3 a2:17:21:08:4e:cc 1a:f1:55:fa:5f:40 1
packet in 2 a2:17:21:08:4e:cc 1a:f1:55:fa:5f:40 3
packet in 2 1a:f1:55:fa:5f:40 a2:17:21:08:4e:cc 1
packet in 3 1a:f1:55:fa:5f:40 a2:17:21:08:4e:cc 2
packet in 2 ae:95:39:27:09:8b 33:33:ff:27:09:8b 3
packet in 1 ae:95:39:27:09:8b 33:33:ff:27:09:8b 2
packet in 3 3a:a2:da:ec:e0:49 33:33:00:00:00:16 2
packet in 3 3a:a2:da:ec:e0:49 33:33:ff:ec:e0:49 2
packet in 1 26:52:a5:02:64:63 33:33:ff:02:64:63 1
packet in 2 26:52:a5:02:64:63 33:33:ff:02:64:63 2
packet in 3 26:52:a5:02:64:63 33:33:ff:02:64:63 2
packet in 2 e6:bc:c6:98:5a:9b 33:33:ff:98:5a:9b 2
packet in 3 e6:bc:c6:98:5a:9b 33:33:ff:98:5a:9b 2
packet in 1 86:bc:26:9f:be:d4 33:33:00:00:00:16 2
packet in 3 a2:17:21:08:4e:cc 33:33:00:00:00:16 1
packet in 2 a2:17:21:08:4e:cc 33:33:00:00:00:16 3
packet in 1 a2:17:21:08:4e:cc 33:33:00:00:00:16 2
packet in 3 a2:17:21:08:4e:cc 33:33:00:00:00:16 1
packet in 3 a2:17:21:08:4e:cc 33:33:00:00:00:02 1
packet in 2 a2:17:21:08:4e:cc 33:33:00:00:00:16 3
packet in 2 a2:17:21:08:4e:cc 33:33:00:00:00:02 3
packet in 1 a2:17:21:08:4e:cc 33:33:00:00:00:16 2
packet in 1 a2:17:21:08:4e:cc 33:33:00:00:00:02 2
packet in 2 1a:f1:55:fa:5f:40 33:33:00:00:00:16 1
packet in 2 1a:f1:55:fa:5f:40 33:33:00:00:00:02 1
packet in 1 1a:f1:55:fa:5f:40 33:33:00:00:00:16 2
packet in 1 1a:f1:55:fa:5f:40 33:33:00:00:00:02 2
packet in 3 1a:f1:55:fa:5f:40 33:33:00:00:00:16 2
packet in 3 1a:f1:55:fa:5f:40 33:33:00:00:00:02 2
packet in 1 86:bc:26:9f:be:d4 33:33:00:00:00:16 2
packet in 1 86:bc:26:9f:be:d4 33:33:00:00:00:02 2
packet in 1 86:bc:26:9f:be:d4 33:33:00:00:00:16 2
packet in 1 86:bc:26:9f:be:d4 33:33:00:00:00:fb 2
packet in 2 ae:95:39:27:09:8b 33:33:00:00:00:16 3
packet in 2 ae:95:39:27:09:8b 33:33:00:00:00:02 3
packet in 1 ae:95:39:27:09:8b 33:33:00:00:00:16 2
packet in 1 ae:95:39:27:09:8b 33:33:00:00:00:02 2
packet in 2 ae:95:39:27:09:8b 33:33:00:00:00:16 3
packet in 1 ae:95:39:27:09:8b 33:33:00:00:00:16 2
packet in 1 86:bc:26:9f:be:d4 33:33:00:00:00:fb 2
packet in 2 ae:95:39:27:09:8b 33:33:00:00:00:16 3
packet in 1 ae:95:39:27:09:8b 33:33:00:00:00:16 2
packet in 3 a2:17:21:08:4e:cc 33:33:00:00:00:16 1
packet in 2 a2:17:21:08:4e:cc 33:33:00:00:00:16 3
packet in 1 a2:17:21:08:4e:cc 33:33:00:00:00:16 2
packet in 2 ae:95:39:27:09:8b 33:33:00:00:00:fb 3
packet in 1 ae:95:39:27:09:8b 33:33:00:00:00:fb 2
packet in 2 ae:95:39:27:09:8b 33:33:00:00:00:fb 3
packet in 1 ae:95:39:27:09:8b 33:33:00:00:00:fb 2
packet in 3 3a:a2:da:ec:e0:49 33:33:00:00:00:16 2
packet in 3 3a:a2:da:ec:e0:49 33:33:00:00:00:02 2
packet in 3 3a:a2:da:ec:e0:49 33:33:00:00:00:16 2
packet in 1 86:bc:26:9f:be:d4 33:33:00:00:00:fb 2
packet in 1 26:52:a5:02:64:63 33:33:00:00:00:16 1
packet in 1 26:52:a5:02:64:63 33:33:00:00:00:02 1
packet in 2 26:52:a5:02:64:63 33:33:00:00:00:16 2
packet in 2 26:52:a5:02:64:63 33:33:00:00:00:02 2
packet in 3 26:52:a5:02:64:63 33:33:00:00:00:16 2
packet in 3 26:52:a5:02:64:63 33:33:00:00:00:02 2
packet in 3 3a:a2:da:ec:e0:49 33:33:00:00:00:fb 2
packet in 3 3a:a2:da:ec:e0:49 33:33:00:00:00:fb 2
packet in 2 e6:bc:c6:98:5a:9b 33:33:00:00:00:16 2
packet in 2 e6:bc:c6:98:5a:9b 33:33:00:00:00:02 2
