loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1 2a:59:d6:18:aa:98 ff:ff:ff:ff:ff:ff 1
packet in 2 2a:59:d6:18:aa:98 ff:ff:ff:ff:ff:ff 2
packet in 3 2a:59:d6:18:aa:98 ff:ff:ff:ff:ff:ff 2
packet in 2 06:a8:fd:f0:eb:28 2a:59:d6:18:aa:98 1
packet in 1 06:a8:fd:f0:eb:28 2a:59:d6:18:aa:98 2
packet in 1 2a:59:d6:18:aa:98 06:a8:fd:f0:eb:28 1
packet in 2 2a:59:d6:18:aa:98 06:a8:fd:f0:eb:28 2
packet in 1 2a:59:d6:18:aa:98 ff:ff:ff:ff:ff:ff 1
packet in 2 2a:59:d6:18:aa:98 ff:ff:ff:ff:ff:ff 2
packet in 3 2a:59:d6:18:aa:98 ff:ff:ff:ff:ff:ff 2
packet in 3 32:3f:e0:6e:60:47 2a:59:d6:18:aa:98 1
packet in 2 32:3f:e0:6e:60:47 2a:59:d6:18:aa:98 3
packet in 1 32:3f:e0:6e:60:47 2a:59:d6:18:aa:98 2
packet in 1 2a:59:d6:18:aa:98 32:3f:e0:6e:60:47 1
packet in 2 2a:59:d6:18:aa:98 32:3f:e0:6e:60:47 2
packet in 3 2a:59:d6:18:aa:98 32:3f:e0:6e:60:47 2
packet in 2 06:a8:fd:f0:eb:28 ff:ff:ff:ff:ff:ff 1
packet in 1 06:a8:fd:f0:eb:28 ff:ff:ff:ff:ff:ff 2
packet in 3 06:a8:fd:f0:eb:28 ff:ff:ff:ff:ff:ff 2
packet in 3 32:3f:e0:6e:60:47 06:a8:fd:f0:eb:28 1
packet in 2 32:3f:e0:6e:60:47 06:a8:fd:f0:eb:28 3
packet in 2 06:a8:fd:f0:eb:28 32:3f:e0:6e:60:47 1
packet in 3 06:a8:fd:f0:eb:28 32:3f:e0:6e:60:47 2
packet in 3 32:3f:e0:6e:60:47 33:33:00:00:00:16 1
packet in 2 fe:60:10:1c:15:2b 33:33:ff:1c:15:2b 2
packet in 2 06:a8:fd:f0:eb:28 33:33:ff:f0:eb:28 1
packet in 2 32:3f:e0:6e:60:47 33:33:00:00:00:16 3
packet in 1 06:a8:fd:f0:eb:28 33:33:ff:f0:eb:28 2
packet in 1 32:3f:e0:6e:60:47 33:33:00:00:00:16 2
packet in 3 fe:60:10:1c:15:2b 33:33:ff:1c:15:2b 2
packet in 3 06:a8:fd:f0:eb:28 33:33:ff:f0:eb:28 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:16 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:16 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:16 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:16 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:ff:98:d2:c7 2
packet in 2 06:a8:fd:f0:eb:28 33:33:00:00:00:16 1
packet in 1 06:a8:fd:f0:eb:28 33:33:00:00:00:16 2
packet in 3 06:a8:fd:f0:eb:28 33:33:00:00:00:16 2
packet in 3 32:3f:e0:6e:60:47 33:33:ff:6e:60:47 1
packet in 2 32:3f:e0:6e:60:47 33:33:ff:6e:60:47 3
packet in 1 32:3f:e0:6e:60:47 33:33:ff:6e:60:47 2
packet in 1 2a:59:d6:18:aa:98 33:33:ff:18:aa:98 1
packet in 2 2a:59:d6:18:aa:98 33:33:ff:18:aa:98 2
packet in 3 2a:59:d6:18:aa:98 33:33:ff:18:aa:98 2
packet in 2 1a:b9:46:33:8b:33 33:33:ff:33:8b:33 3
packet in 1 1a:b9:46:33:8b:33 33:33:ff:33:8b:33 2
packet in 1 2a:59:d6:18:aa:98 33:33:00:00:00:16 1
packet in 2 2a:59:d6:18:aa:98 33:33:00:00:00:16 2
packet in 3 2a:59:d6:18:aa:98 33:33:00:00:00:16 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:16 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:02 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:16 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 2 06:a8:fd:f0:eb:28 33:33:00:00:00:16 1
packet in 2 06:a8:fd:f0:eb:28 33:33:00:00:00:02 1
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:16 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:02 2
packet in 1 06:a8:fd:f0:eb:28 33:33:00:00:00:16 2
packet in 1 06:a8:fd:f0:eb:28 33:33:00:00:00:02 2
packet in 3 06:a8:fd:f0:eb:28 33:33:00:00:00:16 2
packet in 3 06:a8:fd:f0:eb:28 33:33:00:00:00:02 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:16 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:02 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:16 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:16 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:16 2
packet in 2 06:a8:fd:f0:eb:28 33:33:00:00:00:16 1
packet in 3 06:a8:fd:f0:eb:28 33:33:00:00:00:16 2
packet in 1 06:a8:fd:f0:eb:28 33:33:00:00:00:16 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:16 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:02 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:16 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:16 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:16 2
packet in 3 32:3f:e0:6e:60:47 33:33:00:00:00:16 1
packet in 3 32:3f:e0:6e:60:47 33:33:00:00:00:02 1
packet in 2 32:3f:e0:6e:60:47 33:33:00:00:00:16 3
packet in 2 32:3f:e0:6e:60:47 33:33:00:00:00:02 3
packet in 1 32:3f:e0:6e:60:47 33:33:00:00:00:16 2
packet in 1 32:3f:e0:6e:60:47 33:33:00:00:00:02 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 1 2a:59:d6:18:aa:98 33:33:00:00:00:16 1
packet in 1 2a:59:d6:18:aa:98 33:33:00:00:00:02 1
packet in 2 2a:59:d6:18:aa:98 33:33:00:00:00:16 2
packet in 2 2a:59:d6:18:aa:98 33:33:00:00:00:02 2
packet in 3 2a:59:d6:18:aa:98 33:33:00:00:00:16 2
packet in 3 2a:59:d6:18:aa:98 33:33:00:00:00:02 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:16 3
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:02 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:16 2
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:02 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:16 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:16 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:16 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:16 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:16 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:16 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:16 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:16 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:16 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:16 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:16 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 3 32:3f:e0:6e:60:47 33:33:00:00:00:16 1
packet in 2 32:3f:e0:6e:60:47 33:33:00:00:00:16 3
packet in 1 32:3f:e0:6e:60:47 33:33:00:00:00:16 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 1 2a:59:d6:18:aa:98 33:33:00:00:00:16 1
packet in 2 2a:59:d6:18:aa:98 33:33:00:00:00:16 2
packet in 3 2a:59:d6:18:aa:98 33:33:00:00:00:16 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:02 2
packet in 1 82:6c:f3:15:4a:76 33:33:00:00:00:fb 2
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:fb 2
packet in 3 ce:cb:3e:98:d2:c7 33:33:00:00:00:02 2
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:fb 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:fb 2
packet in 3 32:3f:e0:6e:60:47 33:33:00:00:00:02 1
packet in 2 fe:60:10:1c:15:2b 33:33:00:00:00:02 2
packet in 2 06:a8:fd:f0:eb:28 33:33:00:00:00:02 1
packet in 3 fe:60:10:1c:15:2b 33:33:00:00:00:02 2
packet in 3 06:a8:fd:f0:eb:28 33:33:00:00:00:02 2
packet in 1 06:a8:fd:f0:eb:28 33:33:00:00:00:02 2
packet in 2 32:3f:e0:6e:60:47 33:33:00:00:00:02 3
packet in 1 32:3f:e0:6e:60:47 33:33:00:00:00:02 2
packet in 1 2a:59:d6:18:aa:98 33:33:00:00:00:02 1
packet in 2 1a:b9:46:33:8b:33 33:33:00:00:00:02 3
packet in 1 1a:b9:46:33:8b:33 33:33:00:00:00:02 2
packet in 2 2a:59:d6:18:aa:98 33:33:00:00:00:02 2
packet in 3 2a:59:d6:18:aa:98 33:33:00:00:00:02 2
