loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 ca:06:9d:fc:01:5e 33:33:00:00:00:16 1
packet in 3 0e:31:01:dc:ca:95 33:33:00:00:00:16 1
packet in 3 ca:06:9d:fc:01:5e 33:33:00:00:00:16 2
packet in 1 ca:06:9d:fc:01:5e 33:33:00:00:00:16 2
packet in 2 0e:31:01:dc:ca:95 33:33:00:00:00:16 3
packet in 1 0e:31:01:dc:ca:95 33:33:00:00:00:16 2
packet in 2 ca:06:9d:fc:01:5e 33:33:ff:fc:01:5e 1
packet in 1 ca:06:9d:fc:01:5e 33:33:ff:fc:01:5e 2
packet in 3 ca:06:9d:fc:01:5e 33:33:ff:fc:01:5e 2
packet in 3 4a:fb:b2:cb:37:d9 33:33:ff:cb:37:d9 2
packet in 1 52:66:7f:7c:96:cf 33:33:ff:7c:96:cf 1
packet in 2 52:66:7f:7c:96:cf 33:33:ff:7c:96:cf 2
packet in 3 52:66:7f:7c:96:cf 33:33:ff:7c:96:cf 2
packet in 2 56:19:76:2b:e5:19 33:33:00:00:00:16 2
packet in 3 56:19:76:2b:e5:19 33:33:00:00:00:16 2
packet in 2 22:cf:ea:8b:45:e5 33:33:00:00:00:16 3
packet in 1 22:cf:ea:8b:45:e5 33:33:00:00:00:16 2
packet in 1 76:2d:fa:69:1a:63 33:33:ff:69:1a:63 2
packet in 2 56:19:76:2b:e5:19 33:33:ff:2b:e5:19 2
packet in 3 56:19:76:2b:e5:19 33:33:ff:2b:e5:19 2
packet in 1 52:66:7f:7c:96:cf 33:33:00:00:00:16 1
packet in 3 0e:31:01:dc:ca:95 33:33:ff:dc:ca:95 1
packet in 2 52:66:7f:7c:96:cf 33:33:00:00:00:16 2
packet in 2 0e:31:01:dc:ca:95 33:33:ff:dc:ca:95 3
packet in 1 0e:31:01:dc:ca:95 33:33:ff:dc:ca:95 2
packet in 3 52:66:7f:7c:96:cf 33:33:00:00:00:16 2
packet in 2 22:cf:ea:8b:45:e5 33:33:ff:8b:45:e5 3
packet in 1 22:cf:ea:8b:45:e5 33:33:ff:8b:45:e5 2
packet in 1 76:2d:fa:69:1a:63 33:33:00:00:00:16 2
packet in 1 52:66:7f:7c:96:cf ff:ff:ff:ff:ff:ff 1
packet in 2 52:66:7f:7c:96:cf ff:ff:ff:ff:ff:ff 2
packet in 3 52:66:7f:7c:96:cf ff:ff:ff:ff:ff:ff 2
packet in 2 ca:06:9d:fc:01:5e 52:66:7f:7c:96:cf 1
packet in 1 ca:06:9d:fc:01:5e 52:66:7f:7c:96:cf 2
packet in 1 52:66:7f:7c:96:cf ca:06:9d:fc:01:5e 1
packet in 2 52:66:7f:7c:96:cf ca:06:9d:fc:01:5e 2
