loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 2 b2:3f:4d:4c:50:fa 33:33:00:00:00:16 3
packet in 1 ea:ae:88:23:68:7b ff:ff:ff:ff:ff:ff 1
packet in 1 b2:3f:4d:4c:50:fa 33:33:00:00:00:16 2
packet in 2 ea:ae:88:23:68:7b ff:ff:ff:ff:ff:ff 2
packet in 3 ea:ae:88:23:68:7b ff:ff:ff:ff:ff:ff 2
packet in 2 5e:db:eb:7a:62:05 ea:ae:88:23:68:7b 1
packet in 1 5e:db:eb:7a:62:05 ea:ae:88:23:68:7b 2
packet in 1 ea:ae:88:23:68:7b 5e:db:eb:7a:62:05 1
packet in 2 ea:ae:88:23:68:7b 5e:db:eb:7a:62:05 2
packet in 1 ea:ae:88:23:68:7b ff:ff:ff:ff:ff:ff 1
packet in 2 ea:ae:88:23:68:7b ff:ff:ff:ff:ff:ff 2
packet in 3 ea:ae:88:23:68:7b ff:ff:ff:ff:ff:ff 2
packet in 3 26:c0:ed:6a:a8:5d ea:ae:88:23:68:7b 1
packet in 2 26:c0:ed:6a:a8:5d ea:ae:88:23:68:7b 3
packet in 1 26:c0:ed:6a:a8:5d ea:ae:88:23:68:7b 2
packet in 1 ea:ae:88:23:68:7b 26:c0:ed:6a:a8:5d 1
packet in 2 ea:ae:88:23:68:7b 26:c0:ed:6a:a8:5d 2
packet in 3 ea:ae:88:23:68:7b 26:c0:ed:6a:a8:5d 2
packet in 2 5e:db:eb:7a:62:05 ff:ff:ff:ff:ff:ff 1
packet in 1 5e:db:eb:7a:62:05 ff:ff:ff:ff:ff:ff 2
packet in 3 5e:db:eb:7a:62:05 ff:ff:ff:ff:ff:ff 2
packet in 3 26:c0:ed:6a:a8:5d 5e:db:eb:7a:62:05 1
packet in 2 26:c0:ed:6a:a8:5d 5e:db:eb:7a:62:05 3
packet in 2 5e:db:eb:7a:62:05 26:c0:ed:6a:a8:5d 1
packet in 3 5e:db:eb:7a:62:05 26:c0:ed:6a:a8:5d 2
packet in 2 22:cc:03:9f:e5:58 33:33:ff:9f:e5:58 2
packet in 2 5e:db:eb:7a:62:05 33:33:ff:7a:62:05 1
packet in 3 22:cc:03:9f:e5:58 33:33:ff:9f:e5:58 2
packet in 3 5e:db:eb:7a:62:05 33:33:ff:7a:62:05 2
packet in 1 5e:db:eb:7a:62:05 33:33:ff:7a:62:05 2
packet in 3 e6:04:9a:0b:77:4f 33:33:ff:0b:77:4f 2
packet in 1 56:be:28:fa:63:80 33:33:00:00:00:16 2
packet in 3 26:c0:ed:6a:a8:5d 33:33:00:00:00:16 1
packet in 1 ea:ae:88:23:68:7b 33:33:00:00:00:16 1
packet in 2 5e:db:eb:7a:62:05 33:33:00:00:00:16 1
packet in 2 26:c0:ed:6a:a8:5d 33:33:00:00:00:16 3
packet in 2 ea:ae:88:23:68:7b 33:33:00:00:00:16 2
packet in 1 5e:db:eb:7a:62:05 33:33:00:00:00:16 2
packet in 3 5e:db:eb:7a:62:05 33:33:00:00:00:16 2
packet in 1 26:c0:ed:6a:a8:5d 33:33:00:00:00:16 2
packet in 3 ea:ae:88:23:68:7b 33:33:00:00:00:16 2
packet in 3 e6:04:9a:0b:77:4f 33:33:00:00:00:16 2
packet in 2 b2:3f:4d:4c:50:fa 33:33:ff:4c:50:fa 3
packet in 1 b2:3f:4d:4c:50:fa 33:33:ff:4c:50:fa 2
packet in 2 22:cc:03:9f:e5:58 33:33:00:00:00:16 2
packet in 3 22:cc:03:9f:e5:58 33:33:00:00:00:16 2
