loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 3 7e:a4:2f:34:62:34 33:33:00:00:00:16 1
packet in 2 7e:a4:2f:34:62:34 33:33:00:00:00:16 3
packet in 1 7e:a4:2f:34:62:34 33:33:00:00:00:16 2
packet in 1 1e:cd:ac:50:99:4d 33:33:00:00:00:16 1
packet in 2 1e:cd:ac:50:99:4d 33:33:00:00:00:16 2
packet in 3 1e:cd:ac:50:99:4d 33:33:00:00:00:16 2
packet in 2 4a:b5:ab:65:52:7a 33:33:ff:65:52:7a 2
packet in 3 4a:b5:ab:65:52:7a 33:33:ff:65:52:7a 2
packet in 1 1e:cd:ac:50:99:4d 33:33:ff:50:99:4d 1
packet in 2 46:e1:51:8e:b0:9e 33:33:00:00:00:16 1
packet in 2 1e:cd:ac:50:99:4d 33:33:ff:50:99:4d 2
packet in 1 46:e1:51:8e:b0:9e 33:33:00:00:00:16 2
packet in 3 46:e1:51:8e:b0:9e 33:33:00:00:00:16 2
packet in 3 1e:cd:ac:50:99:4d 33:33:ff:50:99:4d 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 2 46:e1:51:8e:b0:9e 33:33:ff:8e:b0:9e 1
packet in 3 46:e1:51:8e:b0:9e 33:33:ff:8e:b0:9e 2
packet in 1 46:e1:51:8e:b0:9e 33:33:ff:8e:b0:9e 2
packet in 3 92:42:79:59:c5:05 33:33:ff:59:c5:05 2
packet in 1 aa:4c:4c:66:92:08 33:33:ff:66:92:08 2
packet in 1 aa:4c:4c:66:92:08 33:33:00:00:00:16 2
packet in 3 7e:a4:2f:34:62:34 33:33:ff:34:62:34 1
packet in 2 7e:a4:2f:34:62:34 33:33:ff:34:62:34 3
packet in 1 7e:a4:2f:34:62:34 33:33:ff:34:62:34 2
packet in 2 ee:3e:cc:7b:7d:bb 33:33:00:00:00:16 3
packet in 1 ee:3e:cc:7b:7d:bb 33:33:00:00:00:16 2
packet in 2 ee:3e:cc:7b:7d:bb 33:33:ff:7b:7d:bb 3
packet in 1 ee:3e:cc:7b:7d:bb 33:33:ff:7b:7d:bb 2
packet in 3 92:42:79:59:c5:05 33:33:00:00:00:16 2
packet in 1 1e:cd:ac:50:99:4d ff:ff:ff:ff:ff:ff 1
packet in 2 1e:cd:ac:50:99:4d ff:ff:ff:ff:ff:ff 2
packet in 3 1e:cd:ac:50:99:4d ff:ff:ff:ff:ff:ff 2
packet in 2 46:e1:51:8e:b0:9e 1e:cd:ac:50:99:4d 1
packet in 1 46:e1:51:8e:b0:9e 1e:cd:ac:50:99:4d 2
packet in 1 1e:cd:ac:50:99:4d 46:e1:51:8e:b0:9e 1
packet in 2 1e:cd:ac:50:99:4d 46:e1:51:8e:b0:9e 2
packet in 1 1e:cd:ac:50:99:4d ff:ff:ff:ff:ff:ff 1
packet in 2 1e:cd:ac:50:99:4d ff:ff:ff:ff:ff:ff 2
packet in 3 1e:cd:ac:50:99:4d ff:ff:ff:ff:ff:ff 2
packet in 3 7e:a4:2f:34:62:34 1e:cd:ac:50:99:4d 1
packet in 2 7e:a4:2f:34:62:34 1e:cd:ac:50:99:4d 3
packet in 1 7e:a4:2f:34:62:34 1e:cd:ac:50:99:4d 2
packet in 1 1e:cd:ac:50:99:4d 7e:a4:2f:34:62:34 1
packet in 2 1e:cd:ac:50:99:4d 7e:a4:2f:34:62:34 2
packet in 3 1e:cd:ac:50:99:4d 7e:a4:2f:34:62:34 2
packet in 2 46:e1:51:8e:b0:9e ff:ff:ff:ff:ff:ff 1
packet in 1 46:e1:51:8e:b0:9e ff:ff:ff:ff:ff:ff 2
packet in 3 46:e1:51:8e:b0:9e ff:ff:ff:ff:ff:ff 2
packet in 3 7e:a4:2f:34:62:34 46:e1:51:8e:b0:9e 1
packet in 2 7e:a4:2f:34:62:34 46:e1:51:8e:b0:9e 3
packet in 2 46:e1:51:8e:b0:9e 7e:a4:2f:34:62:34 1
packet in 3 46:e1:51:8e:b0:9e 7e:a4:2f:34:62:34 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:02 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:02 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 1 1e:cd:ac:50:99:4d 33:33:00:00:00:16 1
packet in 1 1e:cd:ac:50:99:4d 33:33:00:00:00:02 1
packet in 2 1e:cd:ac:50:99:4d 33:33:00:00:00:16 2
packet in 2 1e:cd:ac:50:99:4d 33:33:00:00:00:02 2
packet in 3 1e:cd:ac:50:99:4d 33:33:00:00:00:16 2
packet in 3 1e:cd:ac:50:99:4d 33:33:00:00:00:02 2
packet in 2 46:e1:51:8e:b0:9e 33:33:00:00:00:16 1
packet in 2 46:e1:51:8e:b0:9e 33:33:00:00:00:02 1
packet in 1 46:e1:51:8e:b0:9e 33:33:00:00:00:16 2
packet in 1 46:e1:51:8e:b0:9e 33:33:00:00:00:02 2
packet in 3 46:e1:51:8e:b0:9e 33:33:00:00:00:16 2
packet in 3 46:e1:51:8e:b0:9e 33:33:00:00:00:02 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:fb 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:fb 2
packet in 3 92:42:79:59:c5:05 33:33:00:00:00:16 2
packet in 3 92:42:79:59:c5:05 33:33:00:00:00:02 2
packet in 3 92:42:79:59:c5:05 33:33:00:00:00:16 2
packet in 3 92:42:79:59:c5:05 33:33:00:00:00:fb 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:fb 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:fb 2
packet in 1 aa:4c:4c:66:92:08 33:33:00:00:00:16 2
packet in 1 aa:4c:4c:66:92:08 33:33:00:00:00:02 2
packet in 1 aa:4c:4c:66:92:08 33:33:00:00:00:16 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 1 aa:4c:4c:66:92:08 33:33:00:00:00:fb 2
packet in 3 92:42:79:59:c5:05 33:33:00:00:00:fb 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 3 92:42:79:59:c5:05 33:33:00:00:00:16 2
packet in 3 7e:a4:2f:34:62:34 33:33:00:00:00:16 1
packet in 3 7e:a4:2f:34:62:34 33:33:00:00:00:02 1
packet in 2 7e:a4:2f:34:62:34 33:33:00:00:00:16 3
packet in 2 7e:a4:2f:34:62:34 33:33:00:00:00:02 3
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:16 2
packet in 1 7e:a4:2f:34:62:34 33:33:00:00:00:16 2
packet in 1 7e:a4:2f:34:62:34 33:33:00:00:00:02 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:fb 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:fb 2
packet in 2 ee:3e:cc:7b:7d:bb 33:33:00:00:00:16 3
packet in 2 ee:3e:cc:7b:7d:bb 33:33:00:00:00:02 3
packet in 1 ee:3e:cc:7b:7d:bb 33:33:00:00:00:16 2
packet in 1 ee:3e:cc:7b:7d:bb 33:33:00:00:00:02 2
packet in 1 aa:4c:4c:66:92:08 33:33:00:00:00:fb 2
packet in 2 ee:3e:cc:7b:7d:bb 33:33:00:00:00:16 3
packet in 1 ee:3e:cc:7b:7d:bb 33:33:00:00:00:16 2
packet in 2 ee:3e:cc:7b:7d:bb 33:33:00:00:00:16 3
packet in 1 ee:3e:cc:7b:7d:bb 33:33:00:00:00:16 2
packet in 1 aa:4c:4c:66:92:08 33:33:00:00:00:16 2
packet in 2 46:e1:51:8e:b0:9e 33:33:00:00:00:16 1
packet in 1 46:e1:51:8e:b0:9e 33:33:00:00:00:16 2
packet in 3 46:e1:51:8e:b0:9e 33:33:00:00:00:16 2
packet in 3 92:42:79:59:c5:05 33:33:00:00:00:fb 2
packet in 2 ee:3e:cc:7b:7d:bb 33:33:00:00:00:fb 3
packet in 1 ee:3e:cc:7b:7d:bb 33:33:00:00:00:fb 2
packet in 2 4a:b5:ab:65:52:7a 33:33:00:00:00:fb 2
packet in 3 4a:b5:ab:65:52:7a 33:33:00:00:00:fb 2
packet in 1 1e:cd:ac:50:99:4d 33:33:00:00:00:16 1
