loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1 0e:1d:f5:32:18:4d ff:ff:ff:ff:ff:ff 1
packet in 2 0e:1d:f5:32:18:4d ff:ff:ff:ff:ff:ff 2
packet in 3 0e:1d:f5:32:18:4d ff:ff:ff:ff:ff:ff 2
packet in 2 56:c7:b2:0d:3c:b8 0e:1d:f5:32:18:4d 1
packet in 1 56:c7:b2:0d:3c:b8 0e:1d:f5:32:18:4d 2
packet in 1 0e:1d:f5:32:18:4d 56:c7:b2:0d:3c:b8 1
packet in 2 0e:1d:f5:32:18:4d 56:c7:b2:0d:3c:b8 2
packet in 1 0e:1d:f5:32:18:4d ff:ff:ff:ff:ff:ff 1
packet in 2 0e:1d:f5:32:18:4d ff:ff:ff:ff:ff:ff 2
packet in 3 0e:1d:f5:32:18:4d ff:ff:ff:ff:ff:ff 2
packet in 3 5a:bb:9d:c0:b9:79 0e:1d:f5:32:18:4d 1
packet in 2 5a:bb:9d:c0:b9:79 0e:1d:f5:32:18:4d 3
packet in 1 5a:bb:9d:c0:b9:79 0e:1d:f5:32:18:4d 2
packet in 1 0e:1d:f5:32:18:4d 5a:bb:9d:c0:b9:79 1
packet in 2 0e:1d:f5:32:18:4d 5a:bb:9d:c0:b9:79 2
packet in 3 0e:1d:f5:32:18:4d 5a:bb:9d:c0:b9:79 2
packet in 2 56:c7:b2:0d:3c:b8 ff:ff:ff:ff:ff:ff 1
packet in 3 56:c7:b2:0d:3c:b8 ff:ff:ff:ff:ff:ff 2
packet in 1 56:c7:b2:0d:3c:b8 ff:ff:ff:ff:ff:ff 2
packet in 3 5a:bb:9d:c0:b9:79 56:c7:b2:0d:3c:b8 1
packet in 1 0e:1d:f5:32:18:4d 33:33:00:00:00:16 1
packet in 2 5a:bb:9d:c0:b9:79 56:c7:b2:0d:3c:b8 3
packet in 2 0e:1d:f5:32:18:4d 33:33:00:00:00:16 2
packet in 3 0e:1d:f5:32:18:4d 33:33:00:00:00:16 2
packet in 2 56:c7:b2:0d:3c:b8 5a:bb:9d:c0:b9:79 1
packet in 3 56:c7:b2:0d:3c:b8 5a:bb:9d:c0:b9:79 2
packet in 3 ba:24:be:06:70:3b 33:33:ff:06:70:3b 2
packet in 2 a2:c7:e4:9b:cd:ad 33:33:ff:9b:cd:ad 2
packet in 3 a2:c7:e4:9b:cd:ad 33:33:ff:9b:cd:ad 2
packet in 1 0e:1d:f5:32:18:4d 33:33:ff:32:18:4d 1
