loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1 d2:e7:59:c4:9b:6b ff:ff:ff:ff:ff:ff 1
packet in 2 d2:e7:59:c4:9b:6b ff:ff:ff:ff:ff:ff 2
packet in 2 fa:e1:d8:69:18:63 33:33:00:00:00:16 2
packet in 3 d2:e7:59:c4:9b:6b ff:ff:ff:ff:ff:ff 2
packet in 2 86:b6:af:49:56:f8 d2:e7:59:c4:9b:6b 1
packet in 3 fa:e1:d8:69:18:63 33:33:00:00:00:16 2
packet in 1 86:b6:af:49:56:f8 d2:e7:59:c4:9b:6b 2
packet in 1 d2:e7:59:c4:9b:6b 86:b6:af:49:56:f8 1
packet in 2 d2:e7:59:c4:9b:6b 86:b6:af:49:56:f8 2
packet in 1 d2:e7:59:c4:9b:6b ff:ff:ff:ff:ff:ff 1
packet in 2 d2:e7:59:c4:9b:6b ff:ff:ff:ff:ff:ff 2
packet in 3 d2:e7:59:c4:9b:6b ff:ff:ff:ff:ff:ff 2
packet in 3 02:ad:58:2e:3a:b3 d2:e7:59:c4:9b:6b 1
packet in 2 02:ad:58:2e:3a:b3 d2:e7:59:c4:9b:6b 3
packet in 1 02:ad:58:2e:3a:b3 d2:e7:59:c4:9b:6b 2
packet in 3 a6:24:eb:7a:aa:c8 33:33:ff:7a:aa:c8 2
packet in 1 d2:e7:59:c4:9b:6b 02:ad:58:2e:3a:b3 1
packet in 2 d2:e7:59:c4:9b:6b 02:ad:58:2e:3a:b3 2
packet in 3 d2:e7:59:c4:9b:6b 02:ad:58:2e:3a:b3 2
packet in 2 86:b6:af:49:56:f8 ff:ff:ff:ff:ff:ff 1
packet in 3 86:b6:af:49:56:f8 ff:ff:ff:ff:ff:ff 2
packet in 1 86:b6:af:49:56:f8 ff:ff:ff:ff:ff:ff 2
packet in 3 02:ad:58:2e:3a:b3 86:b6:af:49:56:f8 1
packet in 2 02:ad:58:2e:3a:b3 86:b6:af:49:56:f8 3
packet in 2 86:b6:af:49:56:f8 02:ad:58:2e:3a:b3 1
packet in 3 86:b6:af:49:56:f8 02:ad:58:2e:3a:b3 2
packet in 1 d2:e7:59:c4:9b:6b 33:33:ff:c4:9b:6b 1
packet in 3 02:ad:58:2e:3a:b3 33:33:ff:2e:3a:b3 1
packet in 2 d2:e7:59:c4:9b:6b 33:33:ff:c4:9b:6b 2
packet in 2 02:ad:58:2e:3a:b3 33:33:ff:2e:3a:b3 3
packet in 3 d2:e7:59:c4:9b:6b 33:33:ff:c4:9b:6b 2
packet in 1 02:ad:58:2e:3a:b3 33:33:ff:2e:3a:b3 2
packet in 2 fa:e1:d8:69:18:63 33:33:ff:69:18:63 2
packet in 3 fa:e1:d8:69:18:63 33:33:ff:69:18:63 2
packet in 2 7e:98:a0:db:a6:52 33:33:00:00:00:16 3
packet in 1 7e:98:a0:db:a6:52 33:33:00:00:00:16 2
packet in 2 86:b6:af:49:56:f8 33:33:ff:49:56:f8 1
packet in 3 86:b6:af:49:56:f8 33:33:ff:49:56:f8 2
packet in 1 86:b6:af:49:56:f8 33:33:ff:49:56:f8 2
packet in 3 02:ad:58:2e:3a:b3 33:33:00:00:00:16 1
packet in 2 02:ad:58:2e:3a:b3 33:33:00:00:00:16 3
packet in 1 02:ad:58:2e:3a:b3 33:33:00:00:00:16 2
packet in 2 86:b6:af:49:56:f8 33:33:00:00:00:16 1
packet in 1 86:b6:af:49:56:f8 33:33:00:00:00:16 2
packet in 3 86:b6:af:49:56:f8 33:33:00:00:00:16 2
packet in 1 0e:18:3f:85:30:87 33:33:00:00:00:16 2
packet in 1 0e:18:3f:85:30:87 33:33:00:00:00:02 2
packet in 1 0e:18:3f:85:30:87 33:33:00:00:00:16 2
packet in 2 7e:98:a0:db:a6:52 33:33:00:00:00:16 3
packet in 2 7e:98:a0:db:a6:52 33:33:00:00:00:02 3
packet in 1 7e:98:a0:db:a6:52 33:33:00:00:00:16 2
