loading app ryu.app.simple_switch_13
loading app ryu.controller.ofp_handler
instantiating app ryu.app.simple_switch_13 of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 3 9a:e6:c3:34:6f:fe 33:33:00:00:00:16 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:00:00:00:16 2
packet in 3 9a:e6:c3:34:6f:fe 33:33:ff:34:6f:fe 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:ff:8e:d1:4e 2
packet in 2 22:22:80:e2:f2:22 33:33:00:00:00:16 1
packet in 2 e2:75:70:d6:b5:56 33:33:ff:d6:b5:56 2
packet in 1 22:22:80:e2:f2:22 33:33:00:00:00:16 2
packet in 3 22:22:80:e2:f2:22 33:33:00:00:00:16 2
packet in 3 e2:75:70:d6:b5:56 33:33:ff:d6:b5:56 2
packet in 3 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 1
packet in 2 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 3
packet in 1 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 2
packet in 1 4e:56:17:a5:4b:6c 33:33:ff:a5:4b:6c 1
packet in 2 4e:56:17:a5:4b:6c 33:33:ff:a5:4b:6c 2
packet in 3 4e:56:17:a5:4b:6c 33:33:ff:a5:4b:6c 2
packet in 1 4e:56:17:a5:4b:6c 33:33:00:00:00:16 1
packet in 2 4e:56:17:a5:4b:6c 33:33:00:00:00:16 2
packet in 3 4e:56:17:a5:4b:6c 33:33:00:00:00:16 2
packet in 2 da:10:51:5d:b8:c6 33:33:00:00:00:16 3
packet in 1 da:10:51:5d:b8:c6 33:33:00:00:00:16 2
packet in 2 e2:75:70:d6:b5:56 33:33:00:00:00:16 2
packet in 3 e2:75:70:d6:b5:56 33:33:00:00:00:16 2
packet in 2 da:10:51:5d:b8:c6 33:33:ff:5d:b8:c6 3
packet in 1 da:10:51:5d:b8:c6 33:33:ff:5d:b8:c6 2
packet in 3 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 1
packet in 3 5e:65:5b:1b:f5:e9 33:33:00:00:00:02 1
packet in 2 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 3
packet in 2 5e:65:5b:1b:f5:e9 33:33:00:00:00:02 3
packet in 1 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 2
packet in 1 5e:65:5b:1b:f5:e9 33:33:00:00:00:02 2
packet in 3 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 1
packet in 2 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 3
packet in 1 5e:65:5b:1b:f5:e9 33:33:00:00:00:16 2
packet in 2 22:22:80:e2:f2:22 33:33:00:00:00:16 1
packet in 2 22:22:80:e2:f2:22 33:33:00:00:00:02 1
packet in 1 4e:56:17:a5:4b:6c ff:ff:ff:ff:ff:ff 1
packet in 3 22:22:80:e2:f2:22 33:33:00:00:00:16 2
packet in 3 22:22:80:e2:f2:22 33:33:00:00:00:02 2
packet in 2 4e:56:17:a5:4b:6c ff:ff:ff:ff:ff:ff 2
packet in 1 22:22:80:e2:f2:22 33:33:00:00:00:16 2
packet in 1 22:22:80:e2:f2:22 33:33:00:00:00:02 2
packet in 2 22:22:80:e2:f2:22 4e:56:17:a5:4b:6c 1
packet in 3 4e:56:17:a5:4b:6c ff:ff:ff:ff:ff:ff 2
packet in 1 22:22:80:e2:f2:22 4e:56:17:a5:4b:6c 2
packet in 1 4e:56:17:a5:4b:6c 22:22:80:e2:f2:22 1
packet in 2 4e:56:17:a5:4b:6c 22:22:80:e2:f2:22 2
packet in 1 4e:56:17:a5:4b:6c ff:ff:ff:ff:ff:ff 1
packet in 2 4e:56:17:a5:4b:6c ff:ff:ff:ff:ff:ff 2
packet in 3 4e:56:17:a5:4b:6c ff:ff:ff:ff:ff:ff 2
packet in 3 5e:65:5b:1b:f5:e9 4e:56:17:a5:4b:6c 1
packet in 2 5e:65:5b:1b:f5:e9 4e:56:17:a5:4b:6c 3
packet in 1 5e:65:5b:1b:f5:e9 4e:56:17:a5:4b:6c 2
packet in 1 4e:56:17:a5:4b:6c 5e:65:5b:1b:f5:e9 1
packet in 2 4e:56:17:a5:4b:6c 5e:65:5b:1b:f5:e9 2
packet in 3 4e:56:17:a5:4b:6c 5e:65:5b:1b:f5:e9 2
packet in 2 22:22:80:e2:f2:22 ff:ff:ff:ff:ff:ff 1
packet in 3 22:22:80:e2:f2:22 ff:ff:ff:ff:ff:ff 2
packet in 1 22:22:80:e2:f2:22 ff:ff:ff:ff:ff:ff 2
packet in 3 5e:65:5b:1b:f5:e9 22:22:80:e2:f2:22 1
packet in 2 5e:65:5b:1b:f5:e9 22:22:80:e2:f2:22 3
packet in 2 22:22:80:e2:f2:22 5e:65:5b:1b:f5:e9 1
packet in 3 22:22:80:e2:f2:22 5e:65:5b:1b:f5:e9 2
packet in 2 22:22:80:e2:f2:22 33:33:00:00:00:16 1
packet in 1 22:22:80:e2:f2:22 33:33:00:00:00:16 2
packet in 3 22:22:80:e2:f2:22 33:33:00:00:00:16 2
packet in 3 9a:e6:c3:34:6f:fe 33:33:00:00:00:16 2
packet in 3 9a:e6:c3:34:6f:fe 33:33:00:00:00:02 2
packet in 3 9a:e6:c3:34:6f:fe 33:33:00:00:00:16 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:00:00:00:16 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:00:00:00:02 2
packet in 2 e2:75:70:d6:b5:56 33:33:00:00:00:16 2
packet in 2 e2:75:70:d6:b5:56 33:33:00:00:00:02 2
packet in 3 e2:75:70:d6:b5:56 33:33:00:00:00:16 2
packet in 3 e2:75:70:d6:b5:56 33:33:00:00:00:02 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:00:00:00:16 2
packet in 2 e2:75:70:d6:b5:56 33:33:00:00:00:16 2
packet in 3 e2:75:70:d6:b5:56 33:33:00:00:00:16 2
packet in 3 9a:e6:c3:34:6f:fe 33:33:00:00:00:fb 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:00:00:00:16 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:00:00:00:fb 2
packet in 2 e2:75:70:d6:b5:56 33:33:00:00:00:fb 2
packet in 3 e2:75:70:d6:b5:56 33:33:00:00:00:fb 2
packet in 2 e2:75:70:d6:b5:56 33:33:00:00:00:16 2
packet in 3 e2:75:70:d6:b5:56 33:33:00:00:00:16 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:00:00:00:16 2
packet in 3 9a:e6:c3:34:6f:fe 33:33:00:00:00:fb 2
packet in 1 b2:e3:c1:8e:d1:4e 33:33:00:00:00:fb 2
packet in 2 e2:75:70:d6:b5:56 33:33:00:00:00:fb 2
packet in 3 e2:75:70:d6:b5:56 33:33:00:00:00:fb 2
packet in 1 4e:56:17:a5:4b:6c 33:33:00:00:00:16 1
packet in 1 4e:56:17:a5:4b:6c 33:33:00:00:00:02 1
packet in 2 4e:56:17:a5:4b:6c 33:33:00:00:00:16 2
packet in 2 4e:56:17:a5:4b:6c 33:33:00:00:00:02 2
